分类,题干,A,B,C,D,E,正确答案,解析
基础科目,辐射、⾼温因素属于（ ）。,化学性致病因素,机械性致病因素,物理性致病因素,营养性致病因素,⽣物性致病因素,C,"标准答案：C
出处：押题1.pdf
解析：物理性因素包括⾼温（引起烧伤）、低温（引起冻伤）、电流（电击伤）、光、电离辐射（引起放
射病）、噪声、紫外线、⼤⽓压等。还有来⾃于体内外的⼀切机械性因素，如暴⼒，锐器或钝器撞
击，爆炸波的冲击，体内的肿瘤、异物、结⽯、脓肿等。"
基础科目,⽓球样变属于以下的哪种变性？（ ）,玻璃样变性,淀粉样变性,脂肪变性,细胞肿胀,以上都不是,D,"标准答案：D
出处：押题1.pdf
解析：空泡变性又称⽔泡变性，其特点是在变性细胞的胞浆、胞核内出现⼤⼩不⼀的空泡，使细胞呈蜂窝
状或⽹状，是细胞肿胀的病理变化之⼀；当变性严重时，⼩⽔泡互相融合成⼤⽔泡，细胞核悬于中
央，或被挤于⼀侧，细胞形体显著肿⼤，胞浆空⽩，外形如⽓球状，故称为⽓球样变。"
基础科目,⼼⼒衰竭细胞常含有（ ）。,含铁⾎红素,含铁⾎黄素,⼩吞噬细胞,朗罕⽒细胞,以上都不是,B,"标准答案：B
出处：押题1.pdf
解析：⼼⼒衰竭细胞或⼼衰细胞是指含有含铁⾎黄素的巨噬细胞，常出现在⼼⼒衰竭者的肺内和痰内。"
基础科目,DIC时常发⽣⼀种特殊类型的贫⾎，即（ ）。,营养不良性贫⾎,微⾎管病性溶⾎性贫⾎,再⽣障碍性贫⾎,缺铁性贫⾎,⾃⾝免疫性溶⾎性贫⾎,B,"标准答案：B
出处：押题1.pdf
解析：DIC时，⼤量纤维蛋⽩沉积于微⾎管内并相互交织成⽹状，当红细胞流过⽹孔时，可被黏附甚⾄被割
裂成碎⽚；沉积于⼩⾎管中的条索状纤维蛋⽩，使⾎管腔变窄，红细胞通过时受挤破裂溶⾎；此
外，DIC伴发的缺氧和酸中毒，可致红细胞可塑变形能⼒下降，脆性增⼤，⼤量红细胞的破裂导致溶
⾎性贫⾎的发⽣，因此，常称为微⾎管病性溶⾎性贫⾎。"
基础科目,⾁芽组织的组成细胞成分不包括（ ）。,炎性细胞,成纤维细胞,神经细胞,胶原纤维,内⽪细胞,C,"标准答案：C
出处：押题1.pdf
解析：⾁芽组织是指富有新⽣⽑细⾎管内⽪和成纤维细胞并伴有多量炎性细胞浸润及少量胶原纤维的新⽣
幼稚结缔组织，眼观为鲜红⾊、颗粒状、柔软湿润，形似鲜嫩的⾁芽⽽得名。⾁芽组织因具有丰富
的⾎管，触之易出⾎，但其中尚⽆神经长⼊，故⽆痛觉。"
基础科目,动物严重⼤⾯积烧伤时可引起（ ）。,等渗性脱⽔,混合性脱⽔,低渗性脱⽔,⾼渗性脱⽔,以上都可,A,"标准答案：A
出处：押题1.pdf
解析：等渗性脱⽔是指动物体液中的钠与⽔按⾎浆中的⽐例丢失，其特点是细胞外液容量减少，渗透压不
变；常见于呕吐、腹泻（丧失⼤量消化液）以及软组织损伤、⼤⾯积烧伤（丧失⼤量⾎浆）等。"
基础科目,维⽣素B 1缺乏引起的缺氧属于（ ）。,循环性缺氧,组织性缺氧,⾎液性缺氧,等张性缺氧,外呼吸性缺氧,B,"标准答案：B
出处：押题1.pdf
解析：组织性缺氧的原因包括组织中毒和呼吸酶合成障碍。三羧酸循环的丙酮酸脱氢酶的辅酶为维⽣素
B 1，当维⽣素B 1严重缺乏时，可造成呼吸酶的合成及功能障碍，影响氧化磷酸化过程，进⽽引起细
胞利⽤氧的过程出现障碍。"
基础科目,体温升⾼后，其昼夜温差变动在1℃以内，该热型称（ ）。,间歇热,波状热,稽留热,不规则热,弛张热,C,"标准答案：C
出处：押题1.pdf
解析：疾病过程中，连续的体温动态变化曲线称为热型。根据热型曲线，将发热分为稽留热、弛张热、间
歇热、回归热、波状热、不规则热等。其中，稽留热的特点是体温升⾼到⼀定程度后，⾼热可较稳
定地持续数天，⽽且每天温差在1℃以内。"
基础科目,蜂窝织炎属于（ ）。,卡他性炎,化脓性炎,纤维素性炎,浆液性炎,以上都不是,B,"标准答案：B
出处：押题1.pdf
解析：化脓性炎是以中性粒细胞⼤量渗出，并伴有不同程度的组织坏死和脓液形成为特征的炎症。蜂窝织
炎是指疏松结缔组织内发⽣的弥漫性化脓性炎。"
基础科目,由未成熟的胚胎组织和神经组织发⽣的肿瘤，称为（ ）。,母细胞瘤,纤维瘤,⾁瘤,腺瘤,癌,A,"标准答案：A
出处：押题1.pdf
解析：母细胞瘤是由未成熟的胚胎组织和神经组织发⽣的肿瘤，⼀般在发⽣器官或组织的名称之后加“母细
胞瘤”，例如肾母细胞瘤、神经母细胞瘤等。"
基础科目,湿性坏疽常发⽣于（ ）。,四肢末端,⽪肤,肺,脾,深部创伤,C,"标准答案：C
出处：押题1.pdf
解析：坏疽是指坏死组织受到外界环境影响和不同程度腐败菌感染所引起的变化。①⼲性坏疽多发⽣于体
表⽪肤（四肢、⽿壳、尾根）。②湿性坏疽常见于与外界相通的器官（胃、肠、肺、⼦宫）坏死
时。⽓性坏疽是特殊类型的湿性坏疽，⼤多由深部创伤（阉割、战伤）感染厌⽓菌（产⽓荚膜杆
菌、恶性⽔肿杆菌）引起。"
基础科目,下列营养缺乏可引起动物发⽣脑软化的是（ ）。,维⽣素A,铁,硒,维⽣素D,锌,C,"标准答案：C
出处：押题1.pdf
解析：脑组织坏死后，坏死部脑组织分解变软，称为脑软化。其病因包括：①⽣物性因素，主要是病毒；
②中毒或化学性因素；③营养性因素，如维⽣素B 1、维⽣素E和硒缺乏以及缺铜常引起动物发⽣脑
软化。"
基础科目,⼫斑⼀般在动物死亡多长时间内出现？（ ）,3～6h,10～20h,2～4h,24～48h,1～2h,C,"标准答案：C
出处：押题1.pdf
解析：家畜死亡后，全⾝肌⾁僵直收缩，⼼脏和⾎管也发⽣收缩，将⼼脏和动脉系统内的⾎液驱⼊到静脉
系统中，并由于重⼒的关系，⾎管内的⾎液逐渐向⼫体下垂部位发⽣沉降，⼀般反映在⽪肤和内脏
器官（如肺、肾等）的下部，呈青紫⾊的淤⾎区，称为坠积性淤⾎。⼫体倒卧侧⽪肤的坠积性淤⾎
现象，称为⼫斑（死后2～4h出现）。"
基础科目,治疗指数是（ ）。,LD /ED 50 50,ED /LD 50 50,ED /LD 95 5,LD /ED 5 95,LD /ED 1 99,A,"标准答案：A
出处：押题1.pdf
解析：治疗指数为药物的安全性指标。通常将半数致死量（LD 50）/半数有效量（ED 50）或半数中毒量
（TD 50）/半数有效量（ED 50）称为治疗指数。"
基础科目,青霉素与红霉素或四环素合⽤，表现为（ ）。,协同作⽤,互补作⽤,相加作⽤,拮抗作⽤,配伍禁忌,D,"标准答案：D
出处：押题1.pdf
解析：抗菌药物可分为四⼤类：Ⅰ类为繁殖期或速效杀菌剂，如青霉素类、头孢菌素类；Ⅱ类为静⽌期或慢
效杀菌剂，如氨基糖苷类、多黏菌素类；Ⅲ类为速效抑菌剂，如四环素类、酰胺醇类、⼤环内酯
类；Ⅳ类为慢效抑菌剂，如磺胺类等。青霉素属Ⅰ类抗菌药，红霉素和四环素属Ⅲ类抗菌药；当Ⅰ类与
Ⅲ类合⽤，出现拮抗作⽤。"
基础科目,氟喹诺酮类药物的抗菌作⽤机制是（ ）。,抑制蛋⽩质的合成,影响叶酸的代谢,抑制细胞壁的合成,抑制RNA的合成,抑制脱氧核糖核酸回旋酶,E,"标准答案：E
出处：押题1.pdf
解析：氟喹诺酮类为⼴谱杀菌药，其抗菌作⽤机理是通过抑制细菌脱氧核糖核酸（DNA）回旋酶，⼲扰
DNA复制⽽产⽣杀菌作⽤。"
基础科目,属于头孢菌素类药物是（ ）。,头孢氨苄,阿莫西林,氨苄西林,甲硝唑,青霉素钠,A,"标准答案：A
出处：押题1.pdf
解析：头孢菌素类又名先锋霉素类，是⼀类⼴谱半合成抗⽣素。包括头孢唑啉、头孢氨苄、头孢西丁、头
孢噻呋和头孢喹肟等。"
基础科目,对动物肠道线⾍、肺线⾍、吸⾍及绦⾍均有效的药物是（ ）。,阿苯达唑,噻嘧啶,左咪唑,伊维菌素,吡喹酮,A,"标准答案：A
出处：押题1.pdf
解析：A项，阿苯达唑是畜、禽常见胃肠道线⾍、肺线⾍、肝⽚吸⾍和绦⾍的有效驱⾍药，也是驱除混合感
染多种寄⽣⾍的有效药物；B项，噻嘧啶对蛔⾍为⼀⼴谱⾼效驱肠⾍药，对蛲⾍或钩⾍感染的疗效
好，对鞭⾍也有⼀定疗效；C项，左旋咪唑（左咪唑）对肠道线⾍、肺线⾍的成⾍期具有良好的活
性；D项，伊维菌素为新型的⼴谱、⾼效、低毒⼤环内酯类半合成的抗寄⽣⾍药，对线⾍和节肢动物
有极佳疗效，但对吸⾍、绦⾍及原⾍⽆效；E项，吡喹酮具有⼴谱抗⾎吸⾍和抗绦⾍作⽤。"
基础科目,阿托品对眼睛的作⽤是（ ）。,缩瞳，升⾼眼内压,缩瞳，降低眼内压,散瞳，降低眼内压,散瞳，对眼压⽆效果,散瞳，升⾼眼内压,E,"标准答案：E
出处：押题1.pdf
解析：阿托品为M胆碱受体阻断药，具有松弛平滑肌的作⽤，当平滑肌过度收缩或痉挛时，松弛作⽤极显
著；如松弛虹膜括约肌和睫状肌，表现为散瞳、眼内压升⾼和调节⿇痹。"
基础科目,长期反复应⽤糖⽪质激素，可能造成的不良反应是（ ）。,免疫抑制,结晶尿,致癌,⾼钙⾎症,低⾎钾症,E,"标准答案：E
出处：押题1.pdf
解析：糖⽪质激素的留钠排钾作⽤，常致动物出现⽔肿和低⾎钾症。"
基础科目,⽤于治疗动物充⾎性⼼⼒衰竭的药物是（ ）。,氨茶碱,肾上腺素,咖啡因,洋地黄毒苷,樟脑,D,"标准答案：D
出处：押题1.pdf
解析：强⼼苷类药物⾄今仍是治疗充⾎性⼼⼒衰竭的⾸选药物。临诊常⽤的强⼼苷类药物有洋地黄毒苷、
毒⽑花苷K和地⾼⾟等。"
基础科目,主要⽤于有机磷农药中毒的解毒药是（ ）。,⼄酰胺,阿托品、解磷定,亚硝酸盐,⼆巯丙醇,美蓝,B,"标准答案：B
出处：押题1.pdf
解析：对轻度有机磷中毒，可单独应⽤解磷定或阿托品控制中毒症状；中度或重度中毒时，因解磷定对体
内已蓄积的⼄酰胆碱⽆作⽤，必须并⽤阿托品。
⼆、基础科⽬——A2型题 （每⼀道考题是以⼀个⼩案例出现的，其下
⾯都有A、B、C、D、E五个备选答案。请从中选择⼀个最佳答案。）"
基础科目,"⼀⽝因腹泻脱⽔，某兽医门诊实习⽣误给病⽝静脉输⼊过量注射⽤⽔，引起其尿量增多，分析该
⽝尿量增多的⽣理机制是（ ）。",⾎浆胶体渗透压下降,⾎浆晶体渗透压下降,肾⾎流量下降,肾⼩球⽑细⾎管⾎压下降,囊内压下降,A,"标准答案：A
出处：押题1.pdf
解析：肾⼩球滤过作⽤的动⼒是有效滤过压，有效滤过压＝肾⼩球⽑细⾎管压－（⾎浆胶体渗透压＋囊内
压）。实验中给动物快速静脉注射⼤量的⽣理盐⽔后，使⾎浆胶体渗透压相应降低，导致有效滤过
压升⾼，肾⼩球滤过率加⼤⽽出现尿量增加。"
基础科目,动物因咽部疾病、⾷道阻塞、⽛关紧闭等⽆法饮⽔时，可能导致（ ）。,等渗性脱⽔,⽔肿,⾼渗性脱⽔,酸中毒,低渗性脱⽔,C,"标准答案：C
出处：押题1.pdf
解析：由于机体⽔的丧失主要是细胞外液的丢失，⽽钠离⼦是细胞外液中最主要的阳离⼦，因此脱⽔常伴
有钠的丧失，⽽导致体液渗透压的改变。①动物呕吐、腹泻或⼤量出汗后，⼤量⽔分和电解质的同
时丧失，出现等渗性脱⽔；②如果此时仅补充⽔⽽未补充氯化钠，即会导致渗透压降低，⽽出现低
渗性脱⽔；③动物因咽部疾病、⾷道阻塞、⽛关紧闭等⽆法饮⽔时，则以⽔分丧失为主，⾎浆渗透
压升⾼，出现⾼渗性脱⽔，又称缺⽔性脱⽔或单纯性脱⽔。"
基础科目,"猪，5⽉龄，患⽪肤病较长时间，经⽤青霉素、恩诺沙星等治疗未见明显好转，后经实验室确诊
为表⽪癣菌感染。应改⽤的治疗药物是（ ）。",酮康唑,伊维菌素,⼟霉素,庆⼤霉素,红霉素,A,"标准答案：A
出处：押题1.pdf
解析：酮康唑为⼴谱抗真菌药，对全⾝及浅表真菌均有抗菌活性。⼀般浓度对真菌有抑制作⽤，⾼浓度时
对敏感真菌有杀灭作⽤。对芽⽣菌、球孢⼦菌、隐球菌、组织胞浆菌、⼩孢⼦菌和⽑癣菌等真菌有
抑制作⽤；对曲霉菌、孢⼦丝菌作⽤弱；对⽩⾊念珠菌⽆效。"
基础科目,"家畜（特别是猪）⼤量⾷⼊堆放太久的甜菜，饲喂1h左右后就开始出现症状，患畜呼吸困难，⼜
吐⽩沫，倒地挣扎，可视黏膜发暗，末梢⾎液呈酱油⾊，临床诊断为（ ）。",氰化物中毒,B族维⽣素缺乏,亚硝酸盐中毒,上呼吸道阻塞,CO中毒,C,"标准答案：C
出处：押题1.pdf
解析：萝⼘、⽩菜、甜菜等作物的茎叶中含有较多的硝酸盐，当保存或加⼯不当时，微⽣物可将硝酸盐还
原为亚硝酸盐，家畜（特别是猪）⼤量⾷⼊后就可发⽣亚硝酸盐中毒。通常在饲喂上述饲料1h左右
后就开始出现症状，患畜呼吸困难，⼜吐⽩沫，倒地挣扎，可视黏膜发暗，末梢⾎液呈酱油⾊。"
基础科目,"⽝，4⽉龄，⽣长缓慢、呕吐、腹泻、贫⾎，经粪便检查确诊为蛔⾍和复孔绦⾍混合感染，最佳
的治疗药物是（ ）。",伊维菌素,地克珠利,阿苯达唑,三氯苯达唑,吡喹酮,C,"标准答案：C
出处：押题1.pdf
解析：A项，伊维菌素对线⾍和节肢动物有极佳疗效，但对吸⾍、绦⾍及原⾍⽆效。B项，地克珠利为⼴谱
抗球⾍药。D项，三氯苯达唑为苯并咪唑类中专⽤于抗⽚形吸⾍的药物。E项，吡喹酮具有光谱抗⾎
吸⾍和抗绦⾍作⽤。只有阿苯达唑对胃肠道线⾍、肺线⾍、肝⽚吸⾍和绦⾍等都有效，是驱除混合
感染多种寄⽣⾍的有效药物。因此答案选C。"
基础科目,"神经系统起源于（ ）。
【答案】 C
【解析】
外胚层可分化形成神经系统、感觉器官的上⽪、肾上腺髓质、垂体前叶、复层扁平上⽪及衍⽣物。
（84～86题共⽤备选答案）",⽪质酮,胰岛素,醛固酮,甲状腺素,甲状旁腺素,C,"标准答案：C
出处：押题1.pdf
解析：外胚层可分化形成神经系统、感觉器官的上⽪、肾上腺髓质、垂体前叶、复层扁平上⽪及衍⽣物。
（84～86题共⽤备选答案）
A.⽪质酮
B.胰岛素
C.醛固酮
D.甲状腺素
E.甲状旁腺素"
基础科目,"促进机体“保钠排钾”的主要激素是（ ）。
【答案】 C
【解析】
醛固酮可促进肾远球⼩管和集合管对钠和⽔的重吸收和排出钾，即“保钠排钾”。
（87～88题共⽤备选答案）",内分泌,旁分泌,⾃分泌,神经内分泌,外分泌,C,"标准答案：C
出处：押题1.pdf
解析：醛固酮可促进肾远球⼩管和集合管对钠和⽔的重吸收和排出钾，即“保钠排钾”。
（87～88题共⽤备选答案）
A.内分泌
B.旁分泌
C.⾃分泌
D.神经内分泌
E.外分泌"
